,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên báo cáo,Chỉ số tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày tải,15/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đơn vị tính,VNĐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
        Vay và nợ thuê tài chính ngắn hạn,"9,115,435,107,250.00","8,291,496,866,090.00","7,794,314,406,895.00","6,616,831,614,710.00","8,217,757,172,267.00","6,873,932,117,860.00","6,128,144,184,250.00","6,889,265,980,740.00","4,867,129,839,103.00","9,405,653,167,691.00","9,701,229,190,460.00","10,942,647,333,716.00","9,382,354,118,118.00","9,038,248,667,322.00","9,481,532,928,054.00","9,247,097,278,828.00","7,316,497,078,307.00","6,423,212,089,774.00","6,189,353,009,901.00","6,149,806,942,796.00","5,351,461,260,191.00","4,188,147,842,196.00","3,272,945,064,774.00","2,126,083,288,960.00","1,060,047,652,329.00","956,294,678,845.00","1,797,452,552,318.00","1,560,293,768,812.00","268,102,046,087.00","219,632,623,984.00","108,173,213,914.00","174,251,757,485.00","1,332,666,200,200.00","1,336,465,403,604.00","1,365,531,072,109.00","1,499,433,453,402.00","1,475,358,507,208.00","1,358,733,604,316.00","872,896,438,045.00","922,783,147,378.00"
            Tăng trưởng vay và nợ thuê tài chính ngắn hạn,10.92%,20.62%,27.19%,-3.95%,68.84%,-26.92%,-36.83%,-37.04%,-48.12%,4.06%,2.32%,18.34%,28.24%,40.71%,53.19%,50.36%,36.72%,53.37%,89.11%,189.26%,404.83%,337.96%,82.09%,36.26%,295.39%,335.41%,1561.64%,795.42%,-79.88%,-83.57%,-92.08%,-88.38%,-9.67%,-1.64%,56.44%,62.49%,15.31%,6.66%,1206.23%,417.18%
    Nợ dài hạn,"415,111,869,758.00","411,532,810,496.00","453,196,649,401.00","491,891,149,713.00","508,937,364,128.00","565,044,030,094.00","565,949,667,885.00","346,676,448,782.00","357,722,799,611.00","372,252,790,415.00","377,445,998,543.00","410,402,534,593.00","413,872,193,316.00","426,749,546,167.00","544,274,607,850.00","554,453,926,269.00","572,712,158,332.00","540,790,459,406.00","559,389,313,551.00","511,989,562,860.00","525,766,348,310.00","337,162,323,893.00","436,616,077,486.00","565,361,558,092.00","455,147,352,790.00","695,172,060,684.00","784,757,986,928.00","595,890,865,416.00","598,698,196,544.00","477,619,358,810.00","489,515,870,457.00","515,094,622,289.00","515,209,053,985.00","531,807,386,129.00","533,779,982,227.00","435,045,952,349.00","549,943,361,554.00","558,262,473,836.00","519,478,135,082.00","513,702,917,767.00"
        Tăng trưởng Nợ dài hạn,-18.44%,-27.17%,-19.92%,41.89%,42.27%,51.79%,49.94%,-15.53%,-13.57%,-12.77%,-30.65%,-25.98%,-27.73%,-21.09%,-2.70%,8.29%,8.93%,60.39%,28.12%,-9.44%,15.52%,-51.50%,-44.36%,-5.12%,-23.98%,45.55%,60.31%,15.69%,16.20%,-10.19%,-8.29%,18.40%,-6.32%,-4.74%,2.75%,-15.31%,6.45%,8.12%,4.97%,44.40%
    Vốn chủ sở hữu,"36,174,402,829,663.00","35,244,275,911,882.00","38,337,447,333,457.00","35,867,590,635,494.00","35,025,743,765,470.00","34,003,064,009,307.00","36,660,049,706,993.00","34,510,226,162,818.00","32,816,518,355,085.00","33,844,385,381,769.00","36,820,519,100,790.00","34,977,211,542,030.00","35,850,114,249,384.00","33,874,917,735,869.00","34,375,373,150,169.00","33,963,940,621,427.00","33,647,122,229,822.00","31,691,521,476,430.00","32,355,699,373,176.00","32,246,764,035,922.00","29,731,255,204,364.00","27,840,628,245,882.00","28,933,720,200,205.00","28,923,230,823,493.00","26,271,369,291,927.00","25,950,209,286,277.00","26,536,049,912,532.00","26,290,939,061,369.00","23,873,057,813,861.00","24,028,616,769,178.00","24,753,118,498,532.00","25,019,430,479,001.00","22,405,949,288,585.00","20,754,813,841,870.00","22,947,341,353,557.00","22,872,935,554,210.00","20,923,915,747,585.00","19,216,789,663,838.00","21,272,281,963,424.00","21,261,450,157,182.00"
        Tăng trưởng vốn chủ sở hữu,3.28%,3.65%,4.58%,3.93%,6.73%,0.47%,-0.44%,-1.34%,-8.46%,-0.09%,7.11%,2.98%,6.55%,6.89%,6.24%,5.33%,13.17%,13.83%,11.83%,11.49%,13.17%,7.28%,9.04%,10.01%,10.05%,8.00%,7.20%,5.08%,6.55%,15.77%,7.87%,9.38%,7.08%,8.00%,7.87%,7.58%,6.32%,6.04%,14.66%,13.11%
    Vốn góp cổ phần,"20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","20,899,554,450,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","17,416,877,930,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","14,514,534,290,000.00","12,006,621,930,000.00","12,006,621,930,000.00","12,006,621,930,000.00","12,006,621,930,000.00","10,006,413,990,000.00","10,006,413,990,000.00"
        Tăng trưởng vốn góp cổ phần,,,,,,,,,,,,,,,20.00%,20.00%,20.00%,20.00%,,,,,20.00%,20.00%,20.00%,20.00%,,,,,20.89%,20.89%,20.89%,20.89%,19.99%,19.99%,19.99%,19.99%,19.99%,19.99%
Chỉ số định giá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    P/E,14.16,15.69,14.97,16.02,17.17,18.93,17.92,18.77,18.43,16.20,14.62,16.07,17.58,17.08,17.59,20.12,20.47,18.91,18.33,17.64,20.25,20.47,21.94,23.24,22.62,24.16,25.96,29.18,25.61,21.48,21.21,20.20,21.42,22.23,20.07,19.76,19.41,17.38,17.15,17.30
